departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO MOBIL CAPRI,MOBIL,Cl 5 Nº 77  59,GASOLINA CORRIENTE OXIGENADA,8890,1,05/03/2018 12:00:00 AM
76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,EDS AURES,ESSO,CARRERA 24A No. 1 DN-11,GASOLINA CORRIENTE OXIGENADA,8715,1,05/02/2018 12:00:00 AM
66,RISARALDA,66001,PEREIRA,ESTACION DE SERVICIO LOS ARRAYANES HERVELA,MOBIL,LOTE B2 SECTOR NARANJITO AVENIDA DE LAS AMERICAS No. 29-95,BIODIESEL EXTRA,8459,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76892,YUMBO,ESTACION DE SERVICIO ARROYOHONDO,TEXACO,CALLE 10 No. 22 A - 296,BIODIESEL EXTRA,8270,1,05/02/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO TEXACO SIETE,TEXACO,AVENIDA CARRERA 14 No. 18A-24 SUR,GASOLINA CORRIENTE OXIGENADA,8566,1,05/02/2018 12:00:00 AM
19,CAUCA,19517,PAEZ (BELALCAZAR),AUTOCENTRO BELALCAZAR,BIOMAX,CARRERA 3 No. 9-18,BIODIESEL EXTRA,8690,1,05/02/2018 12:00:00 AM
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACIÓN DE SERVICIO SAN JOSE,TEXACO,SAN JOSÉ ROBERTO PAYAN,GASOLINA CORRIENTE OXIGENADA,7858,1,05/06/2018 12:00:00 AM
17,CALDAS,17001,MANIZALES,LAVAUTOS,TERPEL,CARRERA 25 No. 52 - 19,GASOLINA CORRIENTE OXIGENADA,8960,1,05/02/2018 12:00:00 AM
25,CUNDINAMARCA,25214,COTA,EDS COOTRANSCOTA,PETROBRAS,Kilómetro 1 Vía Cota - Chia,GASOLINA CORRIENTE OXIGENADA,8886,1,05/04/2018 12:00:00 AM
86,PUTUMAYO,86749,SIBUNDOY,SERVICENTRO EL FULL 2,TERPEL,BARRIO FATIMA DE SIBUNDOY,GASOLINA CORRIENTE OXIGENADA,7693,1,05/01/2018 12:00:00 AM
25,CUNDINAMARCA,25736,SESQUILE,PETROBRAS SESQUILE,PETROBRAS,KILOMETRO 39 Y 40 DOBLE CALZADA BOGOTA - TUNJA COSTADO DERECHO,GASOLINA CORRIENTE OXIGENADA,9047,1,05/03/2018 12:00:00 AM
41,HUILA,41001,NEIVA,ESTACION DE SERVICIO EL JARDIN,TERPEL,Carrera 31 # 20 - 13.,BIODIESEL EXTRA,8495,1,05/02/2018 12:00:00 AM
50,META,50318,GUAMAL,EDS GUAMAL,TERPEL,Calle 10 No.2-95,BIOACEM AL 9%,8440,1,05/03/2018 12:00:00 AM
19,CAUCA,19548,PIENDAMO,ESTACION DE SERVICIO TUNIA - PIENDAMO,TERPEL,KILOMETRO 27 VIA PANAMERICANA POPAYAN- CALI VEREDA QUEBRADA GRANDE,GASOLINA CORRIENTE OXIGENADA,8996,1,05/03/2018 12:00:00 AM
23,CORDOBA,23660,SAHAGUN,ESTACION DE SERVICIO DISTRACOM VIRGEN DEL CARMEN,TEXACO,VIRGEN DEL CARMEN 5000 METROS CORREGIMIENTO EL CRUCERO,GASOLINA CORRIENTE OXIGENADA,9179,1,05/03/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,SERVIMOBIL TEUSAQUILLO,MOBIL,AVENIDA CALLE 34 No. 24 - 05,GASOLINA EXTRA OXIGENADA,9038,1,05/02/2018 12:00:00 AM
05,ANTIOQUIA,05190,CISNEROS,BOMBA DE GASOLINA LA YE,TERPEL,CALLE 18 No.. 15-05 Y CARRERA 14A No. 17-25 BARRIO LA YE,GASOLINA CORRIENTE OXIGENADA,9230,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76130,CANDELARIA,EDS EL CARRETERO JUANCHITO,ESSO,CARRERA 8 No. 94 - 19,GASOLINA EXTRA OXIGENADA,10100,1,05/01/2018 12:00:00 AM
41,HUILA,41298,GARZON,ESTACION DE SERVCIO LA JAGUA DE GARZON,TERPEL,CARRERA 1 NO. 8-55 POBLADO DE LA JAGUA,BIODIESEL EXTRA,8597,1,05/02/2018 12:00:00 AM
66,RISARALDA,66001,PEREIRA,ESTACION DE SERVICIO MOBIL CENTENARIO,MOBIL,CARRERA 7 No. 33-13,GASOLINA CORRIENTE OXIGENADA,8990,1,05/10/2018 12:00:00 AM
73,TOLIMA,73268,EL ESPINAL,ESTACION DE SERVICIO LA CONCORDIA ESPINAL,TERPEL,Carrera 4 No. 6-80,GASOLINA CORRIENTE OXIGENADA,9217,1,05/04/2018 12:00:00 AM
17,CALDAS,17524,PALESTINA,ESTACION DE SERVICIO LA ROCHELA,BIOMAX,VEREDA SANTAGUEDA ARAUCA,BIODIESEL EXTRA,8390,1,05/04/2018 12:00:00 AM
52,NARIÑO,52250,EL CHARCO,COMBUSTIBLES EL PESCADOR,TEXACO,PLAYA BASAN,GASOLINA CORRIENTE OXIGENADA,7940,1,05/05/2018 12:00:00 AM
23,CORDOBA,23555,PLANETA RICA,ESTACION DE SERVICIOS SANTA ELENA DEL NORTE,ZEUSS,KILOMETRO 1 VÍA PLANETA RICA - CAUCASIA,BIODIESEL EXTRA,7660,1,05/10/2018 12:00:00 AM
05,ANTIOQUIA,05541,EL PEÑOL,EDS LA CATEDRAL,ZEUSS,CARRERA 22  G No. 6-06,GASOLINA CORRIENTE OXIGENADA,9247,1,05/03/2018 12:00:00 AM
52,NARIÑO,52693,SAN PABLO,ESTACION DE SERVICIO EL REFUGIO,BIOMAX,VEREDA PLAYA ALTA SAN PABLO,BIODIESEL EXTRA,6830,1,04/07/2018 12:00:00 AM
52,NARIÑO,52233,CUMBITARA,ESTACION DE SERVICIO LA PLANADA,BIOMAX,VEREDA YANASARA DE CUMBITARA,BIODIESEL EXTRA,6200,1,05/11/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS ESSO AVENIDA 68,MOBIL,AVENIDA CARRERA 68 No. 20-55 SUR,GASOLINA EXTRA OXIGENADA,12060,1,05/02/2018 12:00:00 AM
15,BOYACA,15001,TUNJA,ESTACION DE SERVICIO AUTOMOTRIZ LAS NIEVES,BIOMAX,Carrera 10 No.27-92,GASOLINA CORRIENTE OXIGENADA,9230,1,05/03/2018 12:00:00 AM
08,ATLANTICO,08758,SOLEDAD,ESTACION DE SERVICIO AUTOMOTRIZ SOLEDAD,TERPEL,CALLE 18 CARRERA 21-44,GASOLINA CORRIENTE OXIGENADA,8780,1,05/07/2018 12:00:00 AM
25,CUNDINAMARCA,25293,GACHALA,ESTACION DE SERVICIO GACHALA,BIOMAX,CALLE 2 Nº 2  - 60,GASOLINA CORRIENTE OXIGENADA,9875,1,05/02/2018 12:00:00 AM
25,CUNDINAMARCA,25594,QUETAME,ESTACION DE SERVICIO VILLA KARLA,OCTANO,CALLE 6 No. 5-115,BIODIESEL EXTRA,7220,1,05/11/2016 12:00:00 AM
68,SANTANDER,68895,ZAPATOCA,ESTACION DE SERVICIO EL CIPRES,TERPEL,Carrera 11 No. 9-50,GASOLINA EXTRA OXIGENADA,11000,1,05/01/2018 12:00:00 AM
86,PUTUMAYO,86219,COLON,ESTACION DE SERVICIO COLON,TERPEL,CALLE 4 N o. 3-12 BARRIO SAN ANTONIO,BIODIESEL EXTRA,7500,1,05/04/2018 12:00:00 AM
05,ANTIOQUIA,05001,MEDELLIN,ESTACION DE SERVICIO INVERSIONES GR SAS,ZEUSS,Carrera 28 No. 59 -7,GASOLINA CORRIENTE OXIGENADA,9058,1,05/02/2018 12:00:00 AM
17,CALDAS,17388,LA MERCED,ESTACION DE SERVICIO LA MERCED,TERPEL,BARRIO LA TOSCANA,BIODIESEL EXTRA,8650,1,05/02/2018 12:00:00 AM
17,CALDAS,17013,AGUADAS,ESTACION DE SERVICIO LAS PALMAS AGUADAS,ZEUSS,BARRIO RENAN BARCO SECTOR ESTADIO,GASOLINA CORRIENTE OXIGENADA,8719,1,06/23/2017 12:00:00 AM
20,CESAR,20001,VALLEDUPAR,EDS SUPER STATION LIBIA ELENA,PETROMIL,DIAGONAL 21 No. 19D-20 BARRIO LOS CACIQUES,GASOLINA CORRIENTE OXIGENADA,6930,1,05/02/2018 12:00:00 AM
08,ATLANTICO,08001,BARRANQUILLA,COOPERATIVA DE TRANSPORTADORES DEL ATLANTICO SIGLA  COOTRANTICO,TERPEL,CALLE 5 No 43 - 10,BIODIESEL EXTRA,8700,1,05/02/2018 12:00:00 AM
15,BOYACA,15861,VENTAQUEMADA,EDS  HONOLULU,BIOMAX,VEREDA BOJIRQUE EL MANZANO KILOMETRO 101 CARRETERA CENTRAL DEL NORTE,GASOLINA CORRIENTE OXIGENADA,9055,1,05/04/2018 12:00:00 AM
25,CUNDINAMARCA,25535,PASCA,ESTACION DE SERVICIO MI TERRUÑO,PETROMIL,FINCA CAMPO ALEGRE VEREDA EL RETIRO,BIODIESEL EXTRA,8470,1,05/02/2018 12:00:00 AM
20,CESAR,20175,CHIMICHAGUA,ESTACION DE SERVICIO KIARA,ZEUSS,CALLE 5 CARRERA 12,BIODIESEL EXTRA,8650,1,05/09/2018 12:00:00 AM
05,ANTIOQUIA,05154,CAUCASIA,ESTACIÓN DE SERVICIO DISTRACOM BAJO CAUCA,ESSO,CARRERA 20 NO. 1 - 241 BARRIO EL LAGO,GASOLINA CORRIENTE OXIGENADA,9160,1,05/04/2018 12:00:00 AM
66,RISARALDA,66001,PEREIRA,ESTACION DE SERVICIO MOBIL CAMIONERO,MOBIL,AVENIDA 30 DE AGOSTO No 28 - 15,GASOLINA CORRIENTE OXIGENADA,8649,1,05/10/2018 12:00:00 AM
52,NARIÑO,52693,SAN PABLO,ESTACION DE SERVICIO LA PLAYA DE SAN PABLO,TERPEL,VEREDA PLAYA BAJA DE SAN PABLO,GASOLINA CORRIENTE OXIGENADA,7045,1,05/02/2018 12:00:00 AM
20,CESAR,20060,BOSCONIA,ESTACION DE SERVICIO AUTO SERVICIO MOVIL AG,PETROMIL,Cr 18 No 18-156 Bosconia,GASOLINA CORRIENTE OXIGENADA,7699,1,05/03/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO COORDINADORA MERCANTIL SA SUCURSAL BOGOTA,MOBIL,CALLE 13 No. 68D-31,BIOACEM AL 9%,7466,1,05/02/2018 12:00:00 AM
85,CASANARE,85125,HATO COROZAL,ESTACION DE SERVICIO AUTOMOTRIZ MAFER,BIOMAX,CALLE 7 No.11-73,BIODIESEL EXTRA,8835,1,05/08/2018 12:00:00 AM
05,ANTIOQUIA,05390,LA PINTADA,SERVICENTRO EL CRUCERO LA PINTADA,TERPEL,Avenida 30 No 29-16,GASOLINA CORRIENTE OXIGENADA,8950,1,05/03/2018 12:00:00 AM
44,LA GUAJIRA,44098,DISTRACCION,ESTACION DE SERVICIO LOS LAURELES,DISCOWACOOP,Calle 11 No 8-20,GASOLINA CORRIENTE OXIGENADA,6700,1,05/03/2018 12:00:00 AM
19,CAUCA,19001,POPAYAN,ESTACION MOBIL EL ALJIBE,MOBIL,CARRERA 11 No 4N - 78,GASOLINA CORRIENTE OXIGENADA,9391,1,05/03/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO BIOMAX SANANDRESITO 38,BIOMAX,Calle 13 # 38 - 25,GASOLINA CORRIENTE OXIGENADA,8969,1,05/03/2018 12:00:00 AM
05,ANTIOQUIA,05266,ENVIGADO,ESTACION DE SERVICIO LAS VEGAS ENVIGADO,TERPEL,CALLE 25 SUR No. 48-210,GASOLINA CORRIENTE OXIGENADA,8870,1,05/03/2018 12:00:00 AM
44,LA GUAJIRA,44078,BARRANCAS,EDS AUTOMOTRIZ Y SERVITECA LA FRONTERA,AYATAWACOOP,CARRETERA NACIONAL CORREGIMIENTO NUEVO OREGANAL,BIODIESEL EXTRA,5000,1,05/02/2018 12:00:00 AM
15,BOYACA,15516,PAIPA,ESTACION DE SERVICIO TAX TURISTICO PAIPA,PETROBRAS,CARRERA 19 NO.  34-12,GASOLINA CORRIENTE OXIGENADA,8879,1,05/02/2018 12:00:00 AM
05,ANTIOQUIA,05001,MEDELLIN,LUBRITODO EL SITIO CORRECTO SAS,MOBIL,CALLE 44 No. 64-52,GASOLINA EXTRA OXIGENADA,11950,1,05/02/2018 12:00:00 AM
68,SANTANDER,68190,CIMITARRA,SERVICENTRO AUTOMOTRIZ Y EDS PTO ARAUJO SANTANDER,BIOMAX,CALLE 1 No. 1-101 PUERTO ARAUJO SALIDA A BERRIO EDS SANTANDER,GASOLINA CORRIENTE OXIGENADA,7970,1,12/05/2016 12:00:00 AM
25,CUNDINAMARCA,25535,PASCA,ESTACION DE SERVICIO MI TERRUÑO,PETROMIL,FINCA CAMPO ALEGRE VEREDA EL RETIRO,BIOACEM AL 9%,8470,1,05/02/2018 12:00:00 AM
47,MAGDALENA,47980,ZONA BANANERA,ESTACION DE SERVICIO AUTOMOTRIZ EL RECUERDO,ZEUSS,CALLE 5 No. 4-74 ORIHUECA,BIODIESEL EXTRA,8560,1,05/03/2018 12:00:00 AM
05,ANTIOQUIA,05360,ITAGUI,ESTACION DE SERVICIOS DISTRACOM LA INDEPENDENCIA,MOBIL,CALLE 37B No.43-31,GASOLINA EXTRA OXIGENADA,11530,1,05/04/2018 12:00:00 AM
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIOS LAS CEIBAS CALI SAS,PETROMIL,Calle 70 No. 11-124,BIODIESEL EXTRA,8390,1,05/02/2018 12:00:00 AM
54,NORTE DE SANTANDER,54518,PAMPLONA,ESTACION DE SERVICIO SALIDA A BUCARAMANGA,COOMULPINORT,Km 9 Vía Pamplona a Bucaramanga,BIODIESEL EXTRA,6190,1,05/03/2018 12:00:00 AM
76,VALLE DEL CAUCA,76520,PALMIRA,ESTACION DE SERVICIOS PARAISO,TERPEL,TRANSVERSAL 30 No. 1-229,GASOLINA EXTRA OXIGENADA,11750,1,05/03/2018 12:00:00 AM
13,BOLIVAR,13140,CALAMAR,ESTACION DE SERVICIOS LA OTRA,BIOMAX,Calle 22 No. 4-48,BIODIESEL EXTRA,7770,1,03/05/2018 12:00:00 AM
91,AMAZONAS,91001,LETICIA,ESTACION DE SERVICIO DISTRIBUIDORA LOS COMUNEROS,TERPEL,PUERTO CIVIL ISLA DE LA FANTASIA,BIODIESEL EXTRA,8420,1,05/02/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO HAYUELOS CON AVENIDA CIUDAD DE CALI,TERPEL,CARRERA 86 No. 19 A-50,BIODIESEL EXTRA,8250,1,05/07/2018 12:00:00 AM
25,CUNDINAMARCA,25899,ZIPAQUIRA,ESTACION DE SERVICIO EL LICEO,PETROBRAS,CALLE 8 N 12-66,BIODIESEL EXTRA,8437,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIOS LOS CERROS,MOBIL,CALLE 1 No. 69-43,BIODIESEL EXTRA,8553,1,05/02/2018 12:00:00 AM
05,ANTIOQUIA,05040,ANORI,ESTACION DE SERVICIO BOMBA CRUCES,ZAPATA Y VELASQUEZ,VEREDA CRUCES,GASOLINA CORRIENTE OXIGENADA,8155,1,04/27/2018 12:00:00 AM
85,CASANARE,85001,YOPAL,EDS TERPEL ARROCERA,TERPEL,CALLE 28 No. 4-90,BIODIESEL EXTRA,8459,1,05/03/2018 12:00:00 AM
76,VALLE DEL CAUCA,76275,FLORIDA,ESTACION  DE SERVICIO SARAH,PETROMIL,CARRERA 16B No. 1 A - 45,GASOLINA CORRIENTE OXIGENADA,8890,1,05/02/2018 12:00:00 AM
23,CORDOBA,23001,MONTERIA,ESTACION DE SERVICIO LOS ANDES,MOBIL,Carrera 2 No 38 - 55,BIODIESEL EXTRA,8810,1,05/02/2018 12:00:00 AM
15,BOYACA,15822,TOTA,EDS PLAYA BLANCA,BIOMAX,KILOMETRO 2 VIA YTOTA -CUITIVA,BIODIESEL EXTRA,8845,1,05/04/2018 12:00:00 AM
05,ANTIOQUIA,05837,TURBO,ESTACION DE SERVICIO AUTOMOTRIZ EL TRES,ZEUSS,CRR 30 18-60 CORR EL TRES,BIODIESEL EXTRA,8490,1,05/11/2018 12:00:00 AM
52,NARIÑO,52786,TAMINANGO,COMBUSTIBLES Y LUBRICANTES LA HUACA,TEXACO,CORREGIMIENTO REMOLINO,GASOLINA CORRIENTE OXIGENADA,6910,1,04/09/2018 12:00:00 AM
76,VALLE DEL CAUCA,76109,BUENAVENTURA,ESTACION DE SERVICIO COMBUSTIBLES GARCES,BIOMAX,AVENIDA 6 No. 21C-70 BARRIO PASCUAL DE ANDAGOYA SECTOR 4 EL PIÑAL,BIODIESEL EXTRA,8190,1,05/07/2018 12:00:00 AM
13,BOLIVAR,13838,TURBANA,EDS LAS MARIAS,PETROMIL,VARIANTE MAMONAL GAMBOTE KM 14,BIODIESEL EXTRA,7880,1,05/03/2018 12:00:00 AM
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIOS NORTE,TEXACO,CARRERA 46 No. 85-148,GASOLINA EXTRA OXIGENADA,12074,1,05/02/2018 12:00:00 AM
66,RISARALDA,66170,DOSQUEBRADAS,ESTACION DE SERVICIO SAN NICOLAS DQ,TEXACO,AVENIDA SIMON BOLIVAR CALLE 29 ESQUINA,BIODIESEL EXTRA,8460,1,05/02/2018 12:00:00 AM
95,GUAVIARE,95015,CALAMAR,ESTACION DE SERVICIO PUNTA BRAVA,BIOMAX,Barrio Villa Alicia,BIODIESEL EXTRA,9574,1,05/02/2017 12:00:00 AM
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO VALLE DE LILI CON CRA 98,TERPEL,CARRERA 98 No. 16-50,BIODIESEL EXTRA,8490,1,05/03/2018 12:00:00 AM
44,LA GUAJIRA,44430,MAICAO,ESTACION DE SERVICIO LA FE MAICAO,DISCOWACOOP,CALLE 16 No. 04-25,ACEM - DIESEL ECOLOGICO,5650,1,05/01/2018 12:00:00 AM
41,HUILA,41001,NEIVA,ESTACION DE SERVICIO TERPEL LA TERMINAL,TERPEL,CARRERA 7 No. 3A No. 220,BIODIESEL EXTRA,8470,1,05/02/2018 12:00:00 AM
50,META,50001,VILLAVICENCIO,ESTACION DE SERVICIO SERRAMONTE,MOBIL,Lote G Serrarnonte,BIOACEM AL 9%,8320,1,05/03/2018 12:00:00 AM
25,CUNDINAMARCA,25175,CHIA,EDS CHIA BACATA,MOBIL,CARRERA 1 No. 19-55,GASOLINA CORRIENTE OXIGENADA,8860,1,05/02/2018 12:00:00 AM
15,BOYACA,15693,SANTA ROSA DE VITERBO,ESTACION DE SERVICIO VITERBO,TERPEL,AVENIDA CLIMACO CALDERON,GASOLINA CORRIENTE OXIGENADA,8958,1,05/03/2018 12:00:00 AM
52,NARIÑO,52435,MALLAMA (PIEDRANCHA),ESTACION DE SERVICIO SAN MIGUEL,BIOMAX,VEREDA SAN MIGUEL DE MALLAMA,GASOLINA CORRIENTE OXIGENADA,7080,1,05/03/2018 12:00:00 AM
13,BOLIVAR,13001,CARTAGENA DE INDIAS,ESTACION DE SERVICIO TERPEL TESCA,TERPEL,AVENIDA PEDRO DE HEREDIA CALLE 31 No. 48C-71,GASOLINA CORRIENTE OXIGENADA,8820,1,05/02/2018 12:00:00 AM
05,ANTIOQUIA,05142,CARACOLI,ESTACIÓN DE SERVICIO EL MIRADOR DE CARACOLI,ZEUSS,CI PASO A NIVEL 111,BIODIESEL EXTRA,8792,1,05/02/2018 12:00:00 AM
19,CAUCA,19548,PIENDAMO,ESTACION DE SERVICIO BRISAS DE PIENDAMO,PETROMIL,CALLE 7 No. 12-283,GASOLINA CORRIENTE OXIGENADA,9300,1,05/02/2018 12:00:00 AM
18,CAQUETA,18256,EL PAUJIL,ESTACION DE SETRVICIO EL COLISEO PAUJIL,TERPEL,Carrera 5 No.8-60,BIODIESEL EXTRA,8800,1,05/02/2018 12:00:00 AM
97,VAUPES,97161,CARURU,ESTACION DE SERVICIO CARURU,BIOMAX,VEREDA ARARA,BIODIESEL EXTRA,11850,1,08/02/2017 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,TERPEL PALOQUEMAO,TERPEL,Calle 19 # 33 - 68,GASOLINA CORRIENTE OXIGENADA,9130,1,05/04/2018 12:00:00 AM
50,META,50330,MESETAS,ESTACION DE SERVICIO LOS TURPIALES,BIOMAX,PUERTO NARIÑO MESETAS,BIOACEM AL 9%,8400,1,05/07/2018 12:00:00 AM
25,CUNDINAMARCA,25214,COTA,ESTACION DE SERVICIO RANCHO SABANA,PETROMIL,KM 4  VIA  SIBERIA COTA,GASOLINA CORRIENTE OXIGENADA,8769,1,05/04/2018 12:00:00 AM
25,CUNDINAMARCA,25200,COGUA,EDS EL OLIVO II,PETROBRAS,VIA ZIPAQUIRA UBATE KM 7 COSTADO NOROCCIDENTAL,BIODIESEL EXTRA,8297,1,05/02/2018 12:00:00 AM
23,CORDOBA,23464,MOMIL,ESTACION DE SERVICIO ORO NEGRO MOMIL,TERPEL,CARRERA 13 No. 19-38,BIODIESEL EXTRA,8520,1,05/02/2018 12:00:00 AM
63,QUINDIO,63130,CALARCA,ESTACION DE SERVICIO BARCELONA,BIOMAX,LOTE DE TERRENO 4 VIA AL VALLE CARRERA 12 Y 13 CORREGIMIENTO LA BARCELONA,BIODIESEL EXTRA,8190,1,05/03/2018 12:00:00 AM
20,CESAR,20011,AGUACHICA,ESTACION DE SERVICIO NEW NOREAN,TERPEL,TRAMO SAN ALBERTO LA MATA MARGEN IZQUIERDO PR 73 8546 A PR 73 9546,GASOLINA CORRIENTE OXIGENADA,7250,1,05/01/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO SANTA SOFIA DE USME,BIOMAX,TRANSVERSAL 1 BIS No. 68B-33 SUR,GASOLINA CORRIENTE OXIGENADA,8859,1,05/02/2018 12:00:00 AM
41,HUILA,41524,PALERMO,EDS MONTERREY PLUS,CASAMOTOR,LOTE 131-EL JUNCAL,GASOLINA CORRIENTE OXIGENADA,9100,1,05/01/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,SERVICENTRO ESSO AVENIDA SUBA ESTACION DE SERVICIO AUTOMOTRIZ,MOBIL,TRANSVERSAL 60 No. 104-09,BIODIESEL EXTRA,9189,1,05/02/2018 12:00:00 AM
23,CORDOBA,23464,MOMIL,ESTACION DE SERVICIO SABANETA,PETROMIL,KILOMETRO 7 VIA MOMIL-COVEÑAS,BIODIESEL EXTRA,8800,1,05/01/2018 12:00:00 AM
25,CUNDINAMARCA,25754,SOACHA,ESTACION DE SERVICIO LA CHUSACA,TEXACO,CARRERA 4 No. 4-21 SUR,GASOLINA EXTRA OXIGENADA,11940,1,05/02/2018 12:00:00 AM
17,CALDAS,17001,MANIZALES,ESTACION DE SERVICIO LA ALHAMBRA,TERPEL,KILOMETRO 11 VIA BOGOTA,BIODIESEL EXTRA,8380,1,05/03/2018 12:00:00 AM
15,BOYACA,15322,GUATEQUE,ESTACION DE SERVICIO ORIENTE,TERPEL,Calle 12 No.9-14,BIOACEM AL 9%,8690,1,05/02/2018 12:00:00 AM
23,CORDOBA,23162,CERETE,ESTACION DE SERVICIO DISTRACOM CERETE,TEXACO,Kilómetro 1 Vía San Pelayo,GASOLINA EXTRA OXIGENADA,11720,1,05/03/2018 12:00:00 AM
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,INTEGRAL DE SERVICIOS AUTOMOVILISTICOS,BIOMAX,CALLE 13 No. 31-42,BIODIESEL EXTRA,8560,1,05/01/2018 12:00:00 AM
19,CAUCA,19212,CORINTO,ESTACION DE SERVICIO LAS PALMAS,PETROMIL,CARRERA 7 CALLE 9 ESQUINA BARRIO EL FRIJOL,BIODIESEL EXTRA,8100,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL LA 26,TERPEL,CARRERA 11B # 26 - 09,GASOLINA EXTRA OXIGENADA,11300,1,05/02/2018 12:00:00 AM
68,SANTANDER,68001,BUCARAMANGA,ESTACION DE SERVICIO NORTE,MOBIL,Kilómetro 1 Vía Pamplona 2-00,GASOLINA CORRIENTE OXIGENADA,8860,1,05/02/2018 12:00:00 AM
25,CUNDINAMARCA,25740,SIBATE,EDS TERPEL SIBATE,TERPEL,Carrera 7 No. 10-95,GASOLINA CORRIENTE OXIGENADA,9064,1,05/03/2018 12:00:00 AM
68,SANTANDER,68573,PUERTO PARRA,EDS LA PAZ,TERPEL,TRONCAL LA PAZ INTERSECCION DE PUERTO PARRA,BIODIESEL EXTRA,7850,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76109,BUENAVENTURA,ESTACION DE SERVICIO REINA SOFIA,TERPEL,CALLE 6 BARRIO BELLAVISTA AUTOPISTA,GASOLINA EXTRA OXIGENADA,11740,1,05/02/2018 12:00:00 AM
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO COMBUSTIBLES EL PINDO,MOBIL,BARRIO EL PINDO DE TUMACO,BIODIESEL EXTRA,7430,1,05/01/2018 12:00:00 AM
50,META,50318,GUAMAL,EDS GUAMAL,TERPEL,Calle 10 No.2-95,GASOLINA EXTRA OXIGENADA,11800,1,05/03/2018 12:00:00 AM
05,ANTIOQUIA,05001,MEDELLIN,MOBIL GUAYABAL,MOBIL,Carrera 50 FF 8 sur 93,BIODIESEL EXTRA,7910,1,07/02/2016 12:00:00 AM
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO COMBUSTIBLES EL VIEJITO,TERPEL,CALLE URIBE URIBE,GASOLINA CORRIENTE OXIGENADA,7285,1,05/03/2018 12:00:00 AM
52,NARIÑO,52051,ARBOLEDA (BERRUECOS),ESTACION DE SERVICIO EL EMPATE,TERPEL,Vereda El Empate,BIODIESEL EXTRA,6680,1,05/03/2018 12:00:00 AM
20,CESAR,20011,AGUACHICA,ESTACION DE SERVICIO CENTRAL,TERPEL,CARRERA 40 No. 5 NORTE - 20 BARRIO PARAGUAY,GASOLINA CORRIENTE OXIGENADA,7203,1,05/02/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS SANTA MARTHA,OCTANO,CALLE 39 B SUR NO. 11-61 ESTE,BIODIESEL EXTRA,8122,1,05/03/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,LADRILLERA SANTAFE PLANTA USME,MOBIL,Km.7 Vía Usme No.63-10,BIODIESEL EXTRA,7614,1,05/02/2018 12:00:00 AM
05,ANTIOQUIA,05631,SABANETA,PAYSANDU E-S MAYORCA,TERPEL,CALLE 57 SUR No. 48-25,BIODIESEL EXTRA,8380,1,05/10/2018 12:00:00 AM
63,QUINDIO,63190,CIRCASIA,COOPERATIVA INTEGRAL DE TRANSPORTADORES DE CIRCASIA  -COOTRACIR,BIOMAX,Kilometro 2 Via Circasia Montenegro,BIODIESEL EXTRA,8528,1,05/02/2018 12:00:00 AM
63,QUINDIO,63401,LA TEBAIDA,SAN GABRIEL PETROMIL TEBAIDA,PETROMIL,VIA PANAMERICANA KILOMETRO 6 LA TEBAIDA - BUENAVENTURA,GASOLINA CORRIENTE OXIGENADA,8678,1,05/03/2018 12:00:00 AM
